hale,健壮的， 矍铄的
antiquarianism,古物研究， 好古癖
vertebrate,脊椎动物
rectify,改正， 矫正； 提纯
eventual,最终的
refrain,抑制。叠句
pith,精髓， 要点
strut,趾高气扬地走。支柱
jumble,使混乱，混杂。混杂， 杂乱
typographical,印刷上的
opposite,相反的， 对立的
mendacious,不真实的， 虚假的； 习惯性说谎的
aftermath,后果， 余波
cub,幼兽； 笨手笨脚的年轻人
cue,暗示，提示。暗示， 提示
chortle,开心地笑，咯咯地笑。得意的笑
footle,说胡话， 做傻事； 浪费)
stereotype,固定形式， 老套
infringe,违反， 侵害
jurisdiction,司法权， 审判权， 裁判权
concurrent,并发的； 协作的， 一致的
harass,侵扰， 烦扰
moment,瞬间； 重要
irreverent,不尊敬的
instinctive,本能的
mettle,勇气， 斗志
tear,撕裂
attach,系上， 贴上， 附上
distribute,分发， 分配
stench,臭气， 恶臭
participate,分担； 参与； 分享
rapacious,掠夺的； 贪婪的
lottery,抽彩给奖法
shove,推挤， 猛推
reflective,反射的， 反照的； 深思熟虑的
suborn,收买， 贿赂
comatose,昏迷的
bibliomania,藏书癖
huffy,愤怒的， 恼怒的
cabinet,橱柜； 内阁
insubstantial,无实体的； 脆弱的
variegate,使多样化， 使色彩斑澜
ostensible,表面上的
tedious,冗长的， 乏味的
initiate,发起， 开始； 接纳
prepossessing,给人好感的
glare,发炫光； 怒目而视
terrestrial,地球的； 陆地的
deception,欺骗， 诡计
slovenly,不整洁的， 邋遢的
budget,做预算， 安排开支。预算
interlocking,连锁的； 关联的
ultimate,最后的
prosecute,起诉； 告发
ancestral,祖先的， 祖传的
arboreal,树木的
carnivorous,肉食动物的
assume,假定； 承担， 担任
fetid,有恶臭的
askance,斜视地
warranted,保证的； 担保的
banish,放逐
intercede,说好话， 代为求情
disaster,灾难， 灾祸， 不幸
stark,光秃秃的； 荒凉的； 僵硬的； 完全的
bellow,咆哮； 吼叫
progeny,后代， 子孙
agnostic,不可知论的。不可知论者
intermingle,混合， 掺杂
bicker,争吵， 口角
restorative,恢复健康的
teem,充满； 到处都是； 暴降， 倾注
foreshadow,成为先兆， 预示
marvel,对…感到惊异。奇迹
recipient,接受者， 收受者
replete,充满的， 供应充足的
blemish,损害；玷污。瑕疵， 缺点
befuddle,使迷惑不解； 使酒醉昏迷
stash,藏匿
inundate,淹没， 泛滥； 压倒
measured,量过的， 精确的； 慎重的， 恰如其分的
rewarding,有益的， 值得的
abreast,并列， 并排
complementary,互补的
extant,现存的， 现有的
cliche,陈腐的usedsooftenthatithasbecomestaleormeaningless)。陈词滥调
undemonstrable,无法证明的， 难以证明的
restoration,恢复， 复原
epidermis,表皮， 外皮
inveigh,痛骂， 猛烈抨击
anathema,被诅咒的人； 革出教门， 诅咒
monochromatic,单色的
undistorted,未失真的
detonate,爆炸， 引爆
prudish,过分守礼的， 假道学的
vagary,奇想， 异想天开
serried,密集的
newsworthy,有新闻价值的， 有报道价值的
benefactor,行善者， 捐助者
competence,胜任， 能力
frivolous,轻薄的， 轻佻的
waddle,摇摇摆摆地走
assure,保证； 使确信
pretext,借口
consult,请教，咨询，商量。咨询
gracious,大方的， 和善的； 奢华的； 优美的， 雅致的
survive,幸存
dehumanize,使失掉人性
adversary,对手的， 敌对的。对手，敌手
precarious,根据不足的， 未证实的； 不稳固的， 危险的
conceptual,概念上的
evince,表明， 表示
furor,喧闹， 轰动； 盛怒
agoraphobic,患旷野恐惧症的
tweak,扭， 拧， 揪； 调节， 微调
incubation,孵卵期； 潜伏期
belligerence,交战； 好战性， 斗争性
prevalent,流行的， 盛行的
cling,紧紧抓住； 坚持
satire,讽刺
projectile,抛射体
oasis,绿洲
satiny,光滑的， 柔软的
compact,坚实的；简洁的。合同， 协议
irrigate,灌溉； 冲洗 with a stream of liquid)
appetizing,美味可口的， 促进食欲的
enlightening,有启迪作用的； 使人领悟的
audible,听得见的
celebrated,有名的， 知名的
offish,冷淡的
showy,俗艳的； 炫耀的
stylize,使…风格化
depredation,劫掠， 蹂躏
ambush,埋伏。埋伏；伏击
impressionable,易受影响的
cynosure,注意的焦点
harrow,耙地； 使痛苦。耙
nimble,敏捷的， 灵活的
undergird,从底层支持， 加固…的底部
erratically,不规律地， 不定地
countless,无数的
fervor,热诚， 热烈
entertain,款待， 招待； 使欢乐， 娱乐
gulch,深谷， 峡谷
deceptive,欺骗的， 导致误解的
critical,挑毛病的； 关键的； 危急的
reciprocally,相互地； 相反地
logistics,后勤学； 后勤
envision,想象， 预想
homogeneity,同种， 同质
inducement,引诱； 引诱物， 诱因， 动机
tend,照料， 照看
mumble,咕哝， 含糊不清地说
somber,忧郁的； 阴暗的
equitable,公正的， 合理的
specimen,范例， 样品， 标本
vituperate,谩骂， 辱骂
exotic,异国的， 外来的； 奇异的， 珍奇的
revenge,报复， 报仇
subscribe,捐助； 订购
intemperance,放纵， 不节制， 过度
utopia,乌托邦
therapy,治疗
ineluctable,不能逃避的
chromosome,染色体
illiberal,偏执的， 思想狭隘的
crescendo,渐强； 高潮
paltry,无价值的， 微不足道的
puffery,极力称赞， 夸大广告， 吹捧
concentration,专心， 专注； 集中； 浓度
velocity,速率， 速度； 迅速， 快速
malfeasance,不法行为， 渎职
successively,接连地， 继续地
trumpery,中看不中用的
condign,罪有应得的 severe and well deserved)； 适宜的
resent,憎恶， 怨恨
quantifiable,可以计量的； 可量化的
homespun,朴素的； 家织的
underling,部下， 下属， 手下
instigate,怂恿， 鼓动， 煽动
den,兽穴， 窝
stunning,极富魅力的
credulous,轻信的， 易上当的
ashen,灰色的， 苍白的， especially deadly pale)
exemplar,模范， 榜样
exuberance,愉快； 茁壮
adjudicate,充当裁判； 判决
apparition,幽灵； 特异景象
impact,冲击， 影响
grate,吱嘎磨碎； 使人烦躁， 刺激
scavenge,清除； 从废物中提取有用物质
strew,撒满， 散播
excogitate,认真想出
meddle,干涉， 干预
supine,仰卧的； 懒散的
nascent,初生的， 萌芽的
influential,有影响力的
impinge,侵犯； 撞击
embryonic,胚胎的； 萌芽期的
distinctive,出众的， 有特色的
prefigure,预示； 预想
interstice,裂缝， 空隙
brag,吹嘘
override,驳回； 蹂躏， 践踏
latch,〔门或窗的〕闩，插销。用碰(簧)锁锁上；用插销插上
rigid,严格的； 僵硬的， 刚硬的
congruous,一致的， 符合的；
advent,到来， 来临
forbear,克制； 忍耐
indestructible,不能破坏的， 不可毁灭的
plainspoken,直言不讳的
herbaceous,草本的
enflame,燃烧
lucubrate,刻苦攻读， 埋头苦干， 专心著作
grumble,嘟囔， 抱怨， 发牢骚
clairvoyance,超人的洞察力
ruminate,反刍； 深思
cynic,犬儒主义者， 愤世嫉俗者
desert,遗弃， 离弃
interconnected,相互连接的
die,金属模子， 金属印模
fragrant,芳香的
dillydally,磨蹭， 浪费时间
rigor,严厉， 严格， 苛刻； 严密， 精确
dim,使暗淡，使模糊。昏暗的， 暗淡的
turgid,肿胀的； 浮夸的
besiege,围攻； 困扰
anachronistic,时代错误的
exemplary,模范的， 典范的； 可仿效的
desuetude,废止， 不用
impudent,鲁莽的， 无礼的
cliche,陈词滥调
adamant,坚决的， 固执的； 强硬的
poignancy,辛辣， 尖锐
depravity,堕落， 恶习
fruition,实现， 完成
molten,熔融的， 熔化的
impair,损害， 削弱
sumptuous,豪华的， 奢侈的
stray,偏离，迷路。迷路的； 零落的
static,静态的； 呆板的
evenhanded,公平的， 不偏不倚的
bray,大声而刺耳地发出 loudly and harshly)
digressive,离题的， 枝节的
diversify,多样化
aromatic,芬芳的， 芳香的
brat,孩子； 顽童
inventive,善于发明的， 有创造力的； 发明的
sermon,布道； 说教， 训诫
mendacity,不诚实
imbibe,喝； 吸入
vertigo,眩晕， 晕头转向
impermeable,不可渗透的， 不透水的
emote,激动地表达感情
inoculate,注射预防针
pluralist,兼任数个宗教职位者， 兼职者
palate,上腭； 口味； 爱好
truant,逃避责任的。逃学者； 逃避者， 玩忽职守者
unconfirmed,未经证实的
virtual,实质上的， 实际上的
lathe,用车床加工。车床
vegetate,像植物那样生长； 无所事事地生活
apposite,适当的， 贴切的
arraign,传讯； 指责
guzzle,大吃大喝； 大量消耗
foppish,纨绔子弟的； 浮华的， 俗丽的
pound,猛击， 连续重击； 狂跳， 怦怦地跳
ignore,不顾， 不理， 忽视
loaf,虚度光阴。一条
applaud,鼓掌； 称赞
shoal,浅的， 薄的。浅滩，浅水处；一群
drollery,滑稽
erudite,博学的， 饱学的
abusive,谩骂的， 毁谤的； 虐待的
advert,注意， 留意； 提及
permeate,扩散， 弥漫； 穿透
insurgent,叛乱的，起义的。叛乱分子
indented,锯齿状的； 高低不平的
grant,同意给予； 授予
podiatrist,足病医生
qualified,合格的； 有限制的
relic,遗物， 遗迹， 遗风
construct,建造， 构造
rivalry,竞争， 对抗
stale,不新鲜的， 陈腐的
stalk,隐伏跟踪
iconoclast,攻击传统观念或风俗的人
undeserving,不值得的
ruminant,反刍的； 沉思的
immaculate,洁净的， 无瑕的
fallibility,易出错， 不可靠
iconoclasm,破坏偶像的理论， 打破旧习
chipper,爽朗的， 活泼的
brew,酿酒； 沏， 煮； 酝酿， 即将发生
menace,威胁， 恐吓
plethora,过多， 过剩
dulcet,美妙的， 悦耳的
debunk,揭穿真相， 暴露
substratum,基础； 地基
deflect,偏离， 转向
sideline,副业， 兼职
counterbalance,起平衡作用
status,身份， 地位
rebuff,断然拒绝
imperious,傲慢的， 专横的
familiarity,熟悉； 亲近， 亲密； 不拘礼仪
diffusion,扩散， 弥漫； 冗长； 反射； 漫射
extraneous,外来的； 无关的
disseminate,传播， 宣传
exodus,大批离去， 成群外出
cult,异教， 教派； 狂热的崇拜
crimp,使起皱， 使卷曲； 抵制， 束缚
digression,离题， 题外话
condemnation,谴责
accumulate,积聚， 积累
pristine,原始的； 质朴的， 纯洁的； 新鲜的， 干净的
cull,挑选，精选。剔除的东西
touchy,敏感的， 易怒的
ogle,送秋波。媚眼
forward,过激的； 莽撞的， 冒失的， 无礼的
trenchant,犀利的， 尖锐的
inexpedient,不适当的， 不明智的
succor,救助， 援助
pantomime,哑剧
discreet,小心的， 言行谨慎的
insincere,不诚恳的， 虚伪的
bait,逗弄； 激怒。诱饵
lunge,冲， 扑
evict,驱逐
revenue,收入， 收益； 税收
strip,剥去。狭长的一片
liken,把…比作
monopoly,垄断； 专利权
stagy,不自然的， 做作的
bilingual,两种语言的
pretense,妄称， 自称； 假装， 伪装， 假象； 借口， 托词
unerringly,无过失地
grain,谷物； 小的硬粒
combine,联合， 结合； 协力
fraudulent,欺骗的， 不诚实的
alter,改变， 更改
brook,小河
travesty,滑稽地模仿
bearing,关系， 意义； 方位
wallow,打滚；沉迷。打滚
disport,玩耍， 嬉戏
embroil,使混乱， 使卷入纠纷
streak,加线条。条纹
undesirable,不受欢迎的， 讨厌的
staid,稳重的， 沉着的
wallop,重击， 猛打。重击，猛击
compass,指南针， 罗盘； 界限， 范围
antidote,解药
pithy,简练有力的， 言简意赅的
dispose,使倾向于； 处理
demure,严肃的， 矜持的
bumper,特大的。保险杠
graft,嫁接，结合；贪污。嫁接， 结合； 贪污
paradigm,范例， 示范
denunciate,公开指责， 公然抨击， 谴责
presage,预示。预感
augury,占卜术； 预兆
stain,玷污； 染色
balk,妨碍； 畏缩不前。梁木，大梁
bale,大包， 大捆； 灾祸， 不幸
paradox,似非而是的理论； 矛盾的人或物； 与通常的见解相反的观点
reprehensible,应受谴责的
mania,癫狂； 狂热
sobriety,节制； 庄重
opposed,反对的
rebuke,指责， 谴责
noisome,有恶臭的； 令人作呕的， 令人讨厌的
banal,乏味的， 陈腐的
spindly,细长的， 纤弱的
eugenic,优生的
tyrannical,暴虐的， 残暴的
jibe,与…一致， 符合
fortify,加强， 巩固
purposiveness,目的性
eidetic,异常清晰的； 极为逼真的
threat,威胁， 恐吓； 凶兆， 征兆
taunt,嘲弄， 嘲讽。嘲笑，讥讽
devoid,空的， 全无的
invention,发明， 创造； 发明才能， 创造力； 发现， 找到
boredom,厌烦； 令人厌烦的事物
tamper,干预， 损害； 篡改
inform,对…有影响； 使活跃， 使有生气； 告诉， 通知
psychological,心理学的； 心理的， 精神的
dearth,缺乏， 短缺
commit,托付； 承诺； 犯罪
patriarchal,家长的， 族长的； 父权制的
empirical,经验的， 实证的
incorrigible,积习难改的， 不可救药的
entrenched,确立的， 牢固的
scurry,急跑， 疾行
supernova,超新星
reassure,使恢复信心； 使确信
divulge,泄露， 透露
bane,祸根
palette,调色板， 颜料配置
curt,简略而草率的
beneficent,慈善的， 仁爱的； 有益的
salutary,有益的， 有益健康的
vexation,恼怒， 苦恼
upheaval,动乱， 剧变
dysfunctional,功能失调的
divergent,分叉的， 叉开的； 发散的， 扩散的； 不同的
august,威严的， 令人敬畏的
intersperse,散布， 点缀
execute,执行， 履行； 将处死
celerity,快速， 迅速
prevision,预知， 先见
balm,香油， 药膏； 镇痛剂， 安慰物
foreknowledge,预知， 先见之明
levelheaded,头脑冷静的， 清醒的
unique,独一无二的， 独特的； 无与伦比的
miscreant,恶棍， 歹徒
hankering,渴望， 向往
furtive,偷偷的， 秘密的
opalescent,发乳白色光的
sober,清醒的； 严肃的， 认真的
shelter,庇护， 保护。避难所，遮蔽
expel,排出； 开除
invective,谩骂， 痛骂
scan,审视， 细看； 浏览， 扫描； 标出格律
uproar,喧嚣， 吵闹； 骚动， 骚乱
profane,亵渎， 玷污
partition,隔开； 隔墙
twee,矫揉造作的， 故作多情的
identifiable,可辨认的
oligarch,寡头政治； 寡头统治集团
atrocity,邪恶； 暴行
lasso,套索
unthreatening,不危险的
entrepreneur,企业家， 创业人
puissant,强大的， 有权力的
extensive,广大的， 广阔的； 多方面的， 广泛的
residential,住宅的， 与居住有关的
impostor,冒充者， 骗子
stab,刺伤， 戳
impart,传授， 赋予； 传递； 告知， 透露
inspire,鼓舞， 激励
operable,可操作的， 可使用的； 可手术治疗的
militia,民兵
odious,可憎的， 令人作呕的
approximate,近似的， 大约的
lope,大步跑。轻快的步伐
germicide,杀菌剂
itinerant,巡回的
nominate,提名； 任命， 指定
tread,踏，践踏；行走。步态； 车轮胎面
imperil,使陷于危险， 危及
sever,断绝， 分离
stationary,静止的， 不动的
barn,谷仓
kennel,狗舍， 狗窝
speck,斑点； 少量
bare,暴露。赤裸的
abrogate,废止， 废除
plangent,轰鸣的； 凄凉的
disarray,混乱， 无秩序
etymology,语源学
duress,胁迫
dense,密集的， 浓密的
vandalize,肆意破坏
discrete,个别的， 分离的； 不连续的
ingress,进入
disrupt,使混乱； 使中断
scar,伤痕， 伤疤
ferromagnetic,铁磁的， 铁磁体的
converse,谈话，交谈['kɑːnvɜːrs]。逆向的。相反的事物
eccentric,古怪的，反常的；
callow,未生羽毛的； 未成熟的
farewell,辞行， 告别。再会，再见
lore,知识； 特定的知识或传说
mast,船桅， 桅杆
muggy,闷热而潮湿的
revoke,撤销， 废除； 召回
contemptible,令人轻视的
spoliation,抢劫， 掠夺
uneven,不平坦的； 不一致的； 不对等的
threadbare,磨破的； 陈腐的
mash,捣成糊状
detraction,贬低， 诽谤
chaste,贞洁的； 朴实的
canary,金丝雀； 女歌星
apply,应用； 适用
jargon,胡言乱语； 行话
postwar,战后的
ethereal,太空的； 轻巧的， 轻飘飘的
ill-prepared,准备不足的
nonthreatening,不构成威胁的
bask,晒太阳， 取暖
canard,谣言， 假新闻
revolt,反叛， 造反； 反感， 厌恶
disgust,反感， 厌恶
tatty,破旧的， 褴褛的； 破败的
tribute,赞词， 颂词； 贡物
stem,茎，
base,卑鄙的
simplistic,过分简单化的
subordinate,次要的；下级的。下级
trend,趋向，倾向。趋势， 倾向
ungainly,笨拙的
reminisce,追忆， 回想
itinerary,旅行路线
pugnacious,好斗的
ragtime,使人发笑的， 滑稽的。雷格泰姆音乐
incentive,刺激， 诱因， 动机； 刺激因素
repudiate,拒绝接受， 回绝， 抛弃
maul,打伤， 伤害
stealth,秘密行动
preliminary,预备的， 初步的， 开始的
devious,不坦诚的； 弯曲的， 迂回的
obtrude,突出； 强加
exceptional,特别的
understudy,充当…的替角。预备演员，替角
impale,刺入， 刺穿
indict,控诉， 起诉
deputize,代理， 代表
convince,使某人确信； 说服
irritating,刺激的； 使人愤怒的， 气人的
stampede,惊跑， 逃窜
terminate,终止， 结束
inoffensive,无害的； 不讨厌的
extension,延伸， 扩展
inappreciable,微不足道的
spanking,强烈的； 疾行的
architect,建筑师
duplicitous,两面派的， 奸诈的； 双重的
variability,变化性
stolid,无动于衷的
boding,凶兆的， 先兆的。凶兆，前兆，预感
lout,蠢人， 笨蛋
antagonistic,敌对的， 对抗性的
mortgage,用…作抵押。抵押；抵押证书
falsify,篡改； 说谎
verify,证明， 证实
snobbish,势利眼的； 假充绅士的
inaugurate,举行就职典礼； 创始， 开创
plenitude,完全； 大量
solitude,孤独
reward,酬谢， 奖赏。报酬，奖赏
graze,吃草； 放牧
ebb,退潮； 衰退
pouch,使成袋状； 将装入袋内。小袋
devout,虔诚的； 忠诚的， 忠心的
comeuppance,应得的惩罚， 因果报应
distrait,心不在焉的
bawl,大叫， 大喊
devour,狼吞虎咽地吃， 吞食； 贪婪地看
stir,刺激
escort,护送。护送者
avarice,贪财， 贪婪
pretence,假装； 借口
termite,白蚁
libelous,诽谤的
maze,迷宫
unqualified,无资格的， 不合格的； 无限制的， 绝对的
thatch,以茅草覆盖。茅草屋顶； 茅草
desolate,荒凉的， 被遗弃的
uproarious,骚动的； 喧嚣的； 令人捧腹大笑的
subdued,柔和的， 缓和的； 温和的
chicanery,欺骗， 欺诈
snooze,打盹儿， 打瞌睡
incongruent,不协调的， 不和谐的， 不合适的
exaggerate,夸大， 夸张； 过分强调
locution,语言风格； 惯用语
demean,贬抑， 降低
gerontocracy,老人统治的政府
spell,连续的一段时间
vex,使烦恼， 使恼怒
aberration,越轨
cavity,洞， 腔
finicky,苛求的， 过分讲究的
provision,供应；条款
recruit,征募， 招募。新兵；新成员
thrust,猛力推； 刺， 戳
demeanour,举止， 行为
commence,开始， 着手
sporadic,不定时发生的
configuration,结构， 配置； 轮廓
spherical,球的， 球状的
pollster,民意调查员
enmity,敌意， 仇恨
provenance,出处， 起源
extinct,绝种的， 不存在的
monolithic,坚若磐石的； 巨大的
martyr,烈士， 殉道者
opaque,不透明的； 难懂的
grave,严肃的，庄重的。墓穴
advantage,有利于， 有益于。利益，益处
tepid,微温的； 不热情的
improvident,无远见的， 不节俭的
embolden,鼓励
abortive,无结果的， 失败的
far-reaching,影响深远的
mordant,讥讽的， 尖酸的
anticipate,预先处理； 预期， 期望
fabricate,捏造； 制造
bullion,金条， 银条
temporary,暂时的， 临时的
habitat,自然环境， 栖息地
optimal,最佳的， 最理想的
hardheaded,讲究实际的， 冷静的， 精明的
sacrament,圣礼， 圣事
frothy,起泡的； 空洞的
self-righteousness,自以为是
anguish,极大的痛苦
chimera,神话怪物； 梦幻
vie,竞争
refraction,折射
enclosure,圈地， 围场
absent,缺席，不参加away)。缺席的
emasculate,使柔弱；阉割。柔弱的
ragged,褴褛的， 破烂的
sanctuary,圣地； 庇护所， 避难所； 庇护
snobbery,势利
conundrum,谜语； 难题
inspired,有创见的， 有灵感的
economy,经济的。节约；经济
interdisciplinary,跨学科的
staunch,坚定的， 忠诚的
coeval,同时代的
orchard,果园
heartfelt,衷心的， 诚挚的
pilfer,偷窃
notch,V字形切口， 刻痕； 等级， 档次
despotic,专横的， 暴虐的
discomfit,使难堪， 使困惑
vista,远景； 展望
insoluble,不能溶解的； 不能解决的
appropriate,拨款；盗用。恰当的
exhale,呼出； 呼气； 散发
resignation,听从， 顺从； 辞职
cede,割让， 放弃
shiftless,没出息的， 懒惰的； 无能的
clannish,排他的， 门户之见的
misrepresentation,误传， 不实的陈述
typify,代表， 是…的典型
perceptive,感知的， 知觉的； 有洞察力的， 敏锐的
stagnant,停滞的
cultivated,耕种的， 栽培的； 有教养的 having or showing good taste and refinement)
density,密集， 稠密
dreary,沉闷的， 乏味的
stunt,阻碍。特技， 绝技
characterize,表现…的特色， 刻画…的性格
ridiculous,荒谬的， 可笑的
severe,严厉的； 剧烈的
monopolize,垄断， 独占
lease,出租。租约；租期
exploit,剥削； 充分利用。英勇行为
sprint,短距离全速奔跑
errand,差使； 差事
flamboyant,艳丽的， 显眼的， 炫耀的
entangle,使卷入
amity,友好关系
garnish,装饰
repellent,令人厌恶的
stun,使震惊， 打晕
ethics,伦理学； 道德规范
suspense,悬念； 挂念
multicellular,多细胞的
mollify,安慰， 安抚
assessment,估价， 评价
autonomy,自治， 自主
unmoved,无动于衷的， 冷漠的
eulogy,颂词， 颂文
melon,甜瓜
kindle,着火， 点燃
cephalic,头的， 头部的
nefarious,极恶毒的， 邪恶的
inroad,袭击； 进展
testy,暴躁的， 易怒的
lasting,持久的， 永久的
tortuous,曲折的， 拐弯抹角的； 弯弯曲曲的
unwarranted,没有根据的
rigidity,严格； 坚硬， 僵硬
counterclockwise,逆时针方向的
narcotic,麻醉的， 催眠的。麻醉剂
paucity,少量； 缺乏
calamity,大灾祸， 不幸之事
strand,搁浅。股，缕
accomplish,完成， 做成功
constituent,成分； 选区内的选民
platitudinous,陈腐的
repercussion,反响； 反应， 影响； 回声
packed,压紧的， 压实的； 充满人的， 拥挤的
preoccupation,全神贯注， 专注； 使人专注的东西
aplomb,沉着， 镇静
impracticability,无法实施； 不能实施的事项
scud,疾行， 飞奔
impermeability,不渗透性
slippery,滑的； 狡猾的
forum,辩论的场所， 论坛
contempt,轻视， 鄙视
vouch,担保， 保证
pulpit,讲道坛
fulminate,猛烈抨击， 严厉谴责
betray,背叛； 暴露
apropos,适当的)； 有关(with reference to； regarding)
discretionary,自由决定的
gutless,没有勇气的， 怯懦的
occupation,工作， 职业； 占有， 占领
charter,特权或豁免权
apex,顶点， 最高点
aspire,渴望， 追求， 向往
burdensome,繁重的， 劳累的
narrow,狭窄的；狭隘的。变窄
